pk_id,member_type,member_name,publisher_name,publisher_email,address1,address2,city,state,zipcode,calc_county,c_sum_circ,circulation_day,mcn_classified_email,two_by_two_ad_contact_email,run_two_by_two_ads,general_manager,general_manager_email,member_phone,member_status,parent_company,display_ad_email,deadline,coupons,open_rate,color_rate_inch,color_rate_min
1480,Member Publication,Big Buck Shopper,Paul Pehler,paul.pehler@lee.net,321 Frenette Dr.,,Chippewa Falls,WI,54729,Chippewa,62372 ,Saturday,paul.pehler@lee.net,paul.pehler@lee.net,,,,(608) 791-8300,Paid,Lee Enterprises,tess.thruman@lee.net,Friday 4P,,14.49,7,35
742,Non Member Publication,Bluff Country Reader,David Phillips,dphillips@bluffcountrynews.com,101 S. Broadway Ave,,Spring Valley,MN,55975,Fillmore,17934 ,Monday,dgroth@bluffcountrynews.com,,,,,(507) 346-7365,Cancelled,Phillips Publishing Inc,ads@bluffcountrynews.com,Thursday 12P,,12.25,1,
735,Member Publication,"Boone County Shopper, Inc.",Edward L Branom,ebranom@boonecountyshopper.com,112 Leonard Court,,Belvidere,IL,61008,Boone,20266 ,Thursday,ebranom@boonecountyshopper.com,,,Matt Branom,mbranom@boonecountyshopper.com,(815) 544-2166,Paid,The Boone County Shopper Inc,mbranom@boonecountyshopper.com,Monday 12P,2,17.47,150,
80,Non Member Publication,Boone County Shopping News,None,,2136 E Mamie Eisenhower Ave,,Boone,IA,50036,Boone,9864 ,Wednesday,classified@amestrib.com,cdixon1@localiq.com,Yes,Shannon Welch,swelch2@localiq.com,(515) 432-6694,No Longer in Business,GateHouse Media,cdixon1@localiq.com,Thursday 5P,,14.85,,
1210,Member Publication,"Broadcaster, The",,,818 Cottage Ave,,Vermillion,SD,57069,Clay,10800 ,Tuesday,beth.rye@yankton.net,beth.rye@yankton.net,Yes,,,(605) 624-4429,Paid,Yankton Media Inc,beth.rye@yankton.net,Thursday 11A - Rate card on file,2,6,4,75
550,Member Publication,Calhoun County Reminder,Jason Major,jmajor@calhouncountyreminder.com,515 4th Street,,Rockwell City,IA,50579,Calhoun,5696 ,Tuesday,ads@calhouncountyreminder.com,ads@calhouncountyreminder.com,Yes,,,(712) 297-8931,Paid,Dudley Printing Inc,ads@calhouncountyreminder.com,Friday 5P,2,5.5,0,
641,Member Publication,Cedar Valley Saver,Tracy Cummings,tracy.cummings@oelweindailyregister.com,3336 Kimball Ave. Ste. 251-A,,Waterloo,IA,50702,Black Hawk,22019 ,Thursday,tom@cvsaver.com,danielle@cvsaver.com,Yes,Tom Hofmann,tom@cvsaver.com,(319) 232-4500,Paid,Community Media Group Inc,tom@cvsaver.com,Friday prior noon,2,16,,
455,Member Publication,Chickasaw County Advertiser- New Hampton Tribune,Christopher Hall,christopherhall@charlescitypress.com,801 Riverside Drive,,Charles City,IA,50616,Floyd,6814 ,Tuesday,ads@nhtrib.com,ads@nhtrib.com,,,,(641)-228-3211,Paid,Charles City Press,accounting@nhtrib.com,Wednesday 5P,2,13.09,2,
530,Non Member Publication,Chiefland Shopper,None,,"1316 2nd St, Ste B",,Perry,IA,50220,Dallas,15476 ,Tuesday,cdixon1@localiq.com,cdixon1@localiq.com,Yes,Kim Fowler,kfowler@localiq.com,(515) 465-4666,Out of Business,Iowa Holdings,,Thursday 12P,,8.23,100,
1386,Non Member Publication,Citizen Tribune- Sherburne County,Gary Meyer,citizennewspaper@midconetwork.com,14054 Bank St.,,Becker,MN,55308,Sherburne,10987 ,Saturday,citizenlegals@midconetwork.com,,,,,(763) 261-5880,Cancelled,Gary W Meyer,citizenads@midconetwork.com,Thursday 12P,,11.8,10100,
189,Member Publication,Cityview,Shane Goodman,shane@dmcityview.com,"8101 Birchwood Court, Suite D",,Johnston,IA,50131,Polk,30000 ,1st Thursday,"shane@dmcityview.com,celeste@dmcityview.com","shane@dmcityview.com,celeste@dmcityview.com",,,,(515) 953-4822,Paid,Big Green Umbrella Media,jolene@iowalivingmagazines.com,3rd Monday of Month by 5PM,2,,0,
260,Member Publication,Consumer Weekly - The Messenger,Terry Christensen,tchristensen@messengernews.net,713 Central Ave,,Fort Dodge,IA,50501,Webster,9955 ,Wednesday,cpeterson@messengernews.net,cpeterson@messengernews.net,Yes,Terry Christensen,tchristensen@messengernews.net,(515) 576-6721,Paid,Ogden Newspapers,cpeterson@messengernews.net,Thursday 12 Noon,1,15,40,
150,Member Publication,Cresco Shopper,John Loveless,crescoshopper53@gmail.com,P.O. Box 117,116 2nd Ave. S.E.,Cresco,IA,52136,Howard,13619 ,Tuesday,peggy@crescoshopperinc.com,peggy@crescoshopperinc.com,Yes,Peggy Loveless,peggy@crescoshopperinc.com,(563) 547-2025,Paid,John & Peggy Loveless,peggy@crescoshopperinc.com,Friday 12P,1,13,50,
170,Non Member Publication,Dallas County News,Lisa Widick,lwidick@theperrychief.com,"1316 2nd St, Ste B",,Perry,IA,50220,Dallas,10271 ,Wednesday,cdixon1@localiq.com,cdixon1@localiq.com,Yes,Kim Fowler,kfowler@amestrib.com,(515) 465-4666,No Longer in Business,Dallas County News Inc,nitani@adelnews.com,Friday 3P,,11.5,100,
1351,Non Member Publication,Dodge County Advantage,Keith Hansen,keithhdci@kmtel.com,121 W Main St,,Kasson,MN,55944,Dodge,13650 ,Wednesday,dcimain@kmtel.com,dcimain@kmtel.com,,,,(507) 634-7503,Cancelled,Dodge Media,dcimain@kmtel.com,Friday 12 NOON ,,15,75,
210,Member Publication,Dubuque Advertiser,Greg Birkett,gbirkett@dbqadvertiser.com,2966 J.F.K. Road,,Dubuque,IA,52002,Dubuque,28365 ,Wednesday,gbirkett@dbqadvertiser.com,gbirkett@dbqadvertiser.com,Yes,,,(563) 588-0162,Paid,Dubuque Advertiser Inc,gbirkett@dbqadvertiser.com,Friday 12P,0,15,4,25
390,Member Publication,Eastern Iowa Shopping News,Beth Lutgen,blutgen@wcinet.com,223 1st Ave E,PO  Box 350,Dyersville,IA,52040,Dubuque,20766 ,Tuesday,mindy.carter@wcinet.com,mindy.carter@wcinet.com,Yes,Jason Norton,jason.norton@wcinet.com,(563) 875-7131,Paid,Woodward Communications Inc - Iowa,june.naber@wcinet.com,Thursday 2P,2,14.57,6.5,30
1192,Member Publication,Elkhorn Valley Shopper,Tom Kelly,publisher@wpnews.com,134 E. Grove St,,West Point,NE,68788-0040,Cuming,9467 ,Wednesday,admanager@wpnews.com,admanager@wpnews.com,Yes,Karey Rahn,admanager@wpnews.com,(402) 372-2412,Paid,West Point News Incorporated,admanager@wpnews.com,Monday 12P,2,12.85,89,
710,Member Publication,"Exchange, The",Susan Smith,ads@exchangeline.com,113 S. 1st Avenue,,Winterset,IA,50273,Madison,30763 ,Wednesday,,ads@exchangeline.com,Yes,,,(515) 462-4625,Cancelled,"Texline, Inc",ads@exchangeline.com,Friday 5P,,5.75,25,
240,,Fairfield Town Crier,Matt Bryant,pub@southeastiowaunion.com,114 E. Broadway,,Fairfield,IA,52556,Jefferson,11065 ,Tuesday,coordinators@ffledger.com,coordinators@ffledger.com,Yes,,,(641) 472-4129,Combined,Folience,leann.nolte@southeastiowaunion.com,Thursday 9AM,,12,75,
1310,Member Publication,Fairmont Photo Press,Sherman Kumba,editor@fairmontphotopress.com,112 E. 1st St.,,Fairmont,MN,56031,Martin,11771 ,Wednesday,frontdesk@fairmontphotopress.com,,Yes,Sandy Gethmann,sandy@fairmontphotopress.com,(507) 238-9456,Paid,Karen Fisher,sandy@fairmontphotopress.com,Monday 12P,,13.75,3,
1430,Member Publication,Family Flyer- Lake County,Shari Foreman,ffpublisher10@yahoo.com,PO Box 1004,,Crown Point,IN,46308,Lake,44078 ,1st Thursday,info@familyflyer.com,info@familyflyer.com,Yes,,,(219) 689-6262,Paid,Family Flyer Inc,info@familyflyer.com,15th of month prior,2,25,50,
191,Non Member Publication,Faribault Area Shopper,Randy Rickman,randy.rickman@apgsomn.com,514 Central Ave N,,Faribault,MN,55021,Rice,16192 ,Tuesday,toni.schmidt@apgsomn.com,toni.schmidt@apgsomn.com,Yes,,,(507) 444-2367,Cancelled,APG Media of Southern MN- Adams Publishing Group,class@apgecm.com,Thursday 3P - Rate card on file,,22,399,
1361,Member Publication,Farm Market News,John Draper,jdraper@pipestonestar.com,115 2nd St. NE,,Pipestone,MN,56164,Pipestone,18057 ,1st-3rd Monday,prepress@pipestonestar.com,prepress@pipestonestar.com,Yes,,,(507) 825-3333,Paid,Pipestone Publishing Company,plorang@pipestonestar.com,Wednesday,2,17.3,99,
261,Non Member Publication,Farm News,Terry Christensen,tchristensen@messengernews.net,713 Central Ave.,,Fort Dodge,IA,50501,Webster,12200 ,Friday,dlantz@farm-news.com,dlantz@farm-news.com,Yes,,,(515) 574-4451,Cancelled,Ogden Newspapers Inc,dlantz@farm-news.com,Friday 11A,,22.2,40.006,
1357,Member Publication,Fillmore County Journal,Jason Sethre,jason@fillmorecountyjournal.com,136 St. Anthony St.,,Preston,MN,55965,Fillmore,18117 ,Monday,jason@fillmorecountyjournal.com,jason@fillmorecountyjournal.com,Yes,,,(507) 765-2151,Paid,Sethre Media Group Inc,ads@fillmorecountyjournal.com,Tuesday 5P,2,18.92,6,
1352,Member Publication,FM Extra,Lisa Miller,lmiller@ncppub.com,"810 4th Ave S, Ste 120",,Moorhead,MN,56560,Clay,5867 ,Thursday,ads@ncppub.com,ads@ncppub.com,Yes,,,(218) 284-1288 EXT 23,Paid,New Century Press Inc,ads@ncppub.com,Tuesday 12 noon,2,12,247,
1360,Member Publication,Free Star,John Draper,jdraper@pipestonestar.com,115 2nd St. NE,,Pipestone,MN,56164,Pipestone,11003 ,Monday,prepress@pipestonestar.com,prepress@pipestonestar.com,Yes,,,(507) 825-3333,Paid,Pipestone Publishing Company,plorang@pipestonestar.com,Friday 12P,2,11.35,80,
1300,Member Publication,Freeborn County Shopper,Julia Thompson,julia.thompson@southernminnesotashoppers.com,110 W. Pearl Street,,Albert Lea,MN,56007,Freeborn,13712 ,Tuesday,julia.thompson@southernminnesotashoppers.com,julia.thompson@southernminnesotashoppers.com,Yes,,,(507) 473-4422,Paid,Southern Minnesota Shoppers,julia.thompson@southernminnesotashoppers.com,Thursday 5P - Rate card on file,2,32,75,
570,Member Publication,Golden Shopper,Peter Wagner,pww@iowainformation.com,227 9th Street,,Sheldon,IA,51201,Obrien,14218 ,Tuesday,creative@iowainformation.com,creative@iowainformation.com,Yes,Jason Lindsay,jlindsay@iowainformation.com,(712) 324-5347,Paid,Iowa Information Publications Inc,Drust@iowainformation.com,Thursday 12P,2,8.94,8.97,
1490,Member Publication,Grant Iowa Lafayette Shopping News,,,11 Means Drive,,Platteville,WI,53818-0500,Grant,33385 ,Tuesday,mindy.carter@wcinet.com,mindy.carter@wcinet.com,Yes,Mindy Carter,mindy.carter@wcinet.com,(608) 348-2374,Paid,Woodward Communications Inc- Wisconsin,"lbanfield@wcinet.com, ashley.snyder@wcinet.com",Friday 9AM,2,21,6.5,
480,Member Publication,Grapevine,Tim Ryan,grapevinerpc@gmail.com,621 Whittier,PO Box 330,Whiting,IA,51063,Monona,9153 ,Wednesday,grapevinerpc@gmail.com,grapevinerpc@gmail.com,,,,(712) 458-2402,Paid,Ryan Publishing Company,grapevinerpc@gmail.com,Monday 12P,2,6,90,
1470,Non Member Publication,Great Dane Shopping News,Joe Mathes,jmathes@wisconsinmediagroup.com,PO Box 237,,Kiel,WI,53042,Manitowoc,29892 ,Wednesday,sschjoth@wisconsinmediagroup.com,cstang@wisconsinmediagroup.com,Yes,Joe Mathes,jmathes@wisconsinmediagroup.com,(608) 845-9559,No Longer in Business,Wisconsin Media Group,cstang@wisconsinmediagroup.com,Thursday 5PM,,13.95,4,
1160,Member Publication,Hartington Shopper,Tom Schieffer,hartshopper@hartel.net,213 N. Broadway,,Hartington,NE,68739,Cedar,6153 ,Wednesday,hartshopper@hartel.net,hartshopper@hartel.net,Yes,,,(402) 254-7471,Paid,Hartington Shopper Inc,hartshopper@hartel.net,Monday 3P,2,13.5,85,
1032,Member Publication,Hillsboro Free Press,Joey Young,joey@kspublishingventures.com,116 S. Main St.,,Hillsboro,KS,67063,Marion,7606 ,Wednesday,joey@kspublishingventures.com,joey@kspublishingventures.com,Yes,,,(620) 947-5702,Paid,Kansas Publishing Ventures LLC,joey@kspublishingventures.com,Monday 12P,2,16,110,
1350,Non Member Publication,Home Magazine,Steve Jameson,sjameson@mankatofreepress.com,"1400 Madison Ave., Ste. 610",,Mankato,MN,56001,Blue Earth,35920 ,Tuesday,heather@homemagonline.com,heather@homemagonline.com,,,,(507) 387-7953,Cancelled,CNHI,maryk@homemagonline.com,Thursday 12P,,23.81,208,
659,Member Publication,Hometown Marketplace,Matt Bryant,matt.bryant@southeastiowaunion.com,1069 Court Ave.,PO Box 222,Marengo,IA,52301,Iowa,14060 ,Wednesday,katie.meck@southeastiowaunion.com,katie.meck@southeastiowaunion.com,Yes,,,319-653-2191,Paid,"Folience, Inc.",tammy@hometowncurrent.com,Thursday 10AM,2,8.75,10,
290,Member Publication,Humboldt Reminder,Kris Grabianowski,kris@humboldtnews.com,512 Sumner Ave.,PO Box 157,Humboldt,IA,50548,Humboldt,11386 ,Wednesday,faith@humboldtnews.com,jen@humboldtnews.com,Yes,,,(515) 332-2514,Paid,Armstrong Journal,faith@humboldtnews.com,Monday 12P,2,9.25,120,
1012,Non Member Publication,Independent Shopper,Jackie Caulkins,jcaulkins@indshopper.com,154 W Wasington Ave,,Lewiston,IL,61542,Fulton,17068 ,Monday,billing@indshopper.com,caulkins@indshopper.com,,,,(309) 647-5200,Cancelled,Keenan & Jacqueline Caulkins,ads@indshopper.com,Wednesday 5P,,9.8,0,
188,Member Publication,Iowa Living Magazines,Shane Goodman,shane@dmcityview.com,"8101 Birchwood Court, Suite D",,Johnston,IA,50131,Polk,146176 ,Thursday,jolene@iowalivingmagazines.com,Jolene@iowalivingmagazines.com,Yes,,,(515) 953-4822,Paid,Big Green Umbrella Media,jolene@iowalivingmagazines.com,Friday by 11AM,2,0,0,
460,Member Publication,Jasper County Advertiser,Craig Mittag,cmittag@shawmedia.com,107 1st Ave. E,,Newton,IA,50208,Jasper,9116 ,Wednesday,advertising@newtondailynews.com,advertising@newtondailynews.com,Yes,,,(641)792-5320 EXT 6551,Paid,Shaw Media Company,advertising@newtondailynews.com,Two days prior 12P,2,12.5,150,
340,Member Publication,Lakes News Shopper,John Adams,john@LNSprint.com,1009 22nd St.,,Milford,IA,51351,Dickinson,21000 ,Tuesday,john@LNSprint.com,john@LNSprint.com,Yes,,,(712)338-2232,Paid,Lakes News Shopper,john@LNSprint.com,Monday 11A,2,7.8,50,
1320,Member Publication,Livewire -Jackson County,Justin Lessman,justinl@livewireprinting.com,310 Second St.,PO BOX 208,Jackson,MN,56143,Jackson,8869 ,Sunday,eileenc@livewireprinting.com,julies@livewireprinting.com,Yes,,,(507) 847-3771,Paid,Livewire Printing Company Inc,prepress@livewireprinting.com,Wednesday 10:30AM,2,11.9,3,
1325,Member Publication,Luverne Announcer,Rick Peterson,rick@star-herald.com,117 W. Main St.,,Luverne,MN,56156,Rock,8923 ,Sunday,designer@star-herald.com,designer@star-herald.com,Yes,,,(507) 283-2333,Paid,Tollefson Publishing,tolly@star-herald.com,Thursday 12P,2,10.1,165,
1316,Non Member Publication,Manney's Shopper - Hibbing,Chris Knight,cknight@mesabidailynews.net,2142 1st Ave.,,Hibbing,MN,55746,Saint Louis,15494 ,Sunday,mferris@hibbingdailytribune.net,,Yes,,,(218) 262-1011,Cancelled,APG Media / Manney's Shopper Inc,taune@hibbingdailytribune.net,Thursday 12P,,15.9,125,
1317,Non Member Publication,Manney's Shopper - Virginia,Chris Knight,cknight@mesabitribune.com,704 7th Ave. S.,,Virginia,MN,55792,Saint Louis,19513 ,Sunday,sstern@mesabitribune.com,,Yes,,,(218) 741-5544,Cancelled,APG Media / Manney's Shopper Inc,astanaway@mesabitribune.com,Thursday 10A,,16.1,125,
370,Non Member Publication,Marion County Reminder,Ron Gutierrez,rgutierrez@cnhi.com,1901 A Ave W,,Oskaloosa,IA,52577,Mahaska,13426 ,Tuesday,oskyclass@oskyherald.com,,Yes,,,(641) 672-2581,Cancelled,CNHI,ohcirc@oskyherald.com,Thursday 11A,,8,275,
420,,Mason City Shopper,,,"687 S. Taft Ave, Suite 2",,Mason City,IA,50401,Cerro Gordo,28035 ,Tuesday,msc.Classads@globegazette.com,,,,,(641) 421-0507,,Lee Enterprises,msc.majorsmail@globegazette.com,Thursday 2P,,10,60.00115,
193,Non Member Publication,Minnesota River Valley Shopper,Randy Rickman,randy.rickman@apgsomn.com,311 S Minnesota St,,St Peter,MN,56082,Nicollet,10844 ,Saturday,toni.schmidt@apgsomn.com,toni.schmidt@apgsomn.com,Yes,,,(507) 444-2367,Cancelled,APG Media of Southern MN- Adams Publishing Group,class@apgecm.com,Tuesday 3P - Rate card on file,,16.65,85,
1230,Member Publication,Missouri Valley Shopper,Gary Wood,gary.wood@yankton.net,319 Walnut St,,Yankton,SD,57078,Yankton,20470 ,Tuesday,Micki.Schievelbein@yankton.net,"micki.schievelbein@yankton.net,beth.rye@yankton.net",,,,(605) 665-5884,Paid,Yankton Media Inc,micki.schievelbein@yankton.net,Fri 12P -Add $45 Monster.com to employment ads- Rate card on file,2,13.3,4,75
1330,Member Publication,Mower County Shopper,Julia Thompson,julia.thompson@southernminnesotashoppers.com,3405 W. Oakland Ave.,,Austin,MN,55912,Mower,14302 ,Tuesday,julia.thompson@southernminnesotashoppers.com,julia.thompson@southernminnesotashoppers.com,Yes,,,(507) 473-4422,Paid,Southern Minnesota Shoppers,julia.thompson@southernminnesotashoppers.com,Thursday 5PM,2,32,,45
440,,Mt. Pleasant Shopper,Matt Bryant,pub@southeastiowaunion.com,119 West Monroe St,,Mt Pleasant,IA,52641,Henry,10182 ,Tuesday,coordinators@ffledger.com,coordinators@ffledger.com,Yes,,,(319) 385-3131,Combined,Folience,holly.frary@southeastiowaunion.com,Thursday 9AM,,12,75,
1319,Member Publication,Murray County Advantage,Louise M. Johnson,text@fuldafreepress.net,118 N. St. Paul Ave.,,Fulda,MN,56131,Murray,7883 ,Monday,text@fuldafreepress.net,ads@fuldafreepress.net,Yes,Jerry Johnson,jerry@fuldafreepress.net,(507) 425-2303,Paid,Johnson Publishing,ads@fuldafreepress.net,Thursday 12P,2,9.5,95,
1331,Member Publication,NewsHopper,Laura Heglund,hopper@crosbyironton.net,2027 South 6th St,PO Box 562,Ironton,MN,56455,Crow Wing,13778 ,Saturday,hopper@crosbyironton.net,hopper@crosbyironton.net,Yes,,,(218) 772-0300,Paid,Eric and Laura Heglund,hopper@crosbyironton.net,Monday by 12 Noon,2,12.5,250,
50,Member Publication,Nishna Valley Tribune,Jeff Lundquist,jrlund@ant-news.com,517 Leroy St.,,Audubon,IA,50025-0268,Audubon,7917 ,Tuesday,"acndianab@gmail.com,ads@valleynewstoday.com","jeannemacn@gmail.com,ads@valleynewstoday.com",Yes,,,(712) 563-2741,Paid,Community Media Group,jeannemacn@gmail.com,Thursday 5P,2,7.2,,
1168,Member Publication,Norfolk Area Shopper,Julie Hermsen,jhermsen@norfolkareashopper.com,PO Box 1266,,Norfolk,NE,68702,Madison,27901 ,Wednesday,classifieds@norfolkareashopper.com,ads@norfolkareashopper.com,,,,(402) 379-4100,Paid,Northeast Shoppers Inc,jhermsen@norfolkareashopper.com,Friday 5P,2,12.1,,
120,Member Publication,Northeast Iowa Shopper,Christopher Hall,christopherhall@charlescitypress.com,801 Riverside Drive,,Charles City,IA,50616,Floyd,15252 ,Tuesday,classifiedads@charlescitypress.com,christopherhall@charlescitypress.com,Yes,Christopher Hall,christopherhall@charlescitypress.com,(641) 228-3211,Paid,Charles City Press,"chris@charlescitypress.com, graphics@charlescitypress.com",Wednesday 4PM,2,15.88,4,
192,Non Member Publication,Northfield Weekender,Randy Rickman,randy.rickman@apgsomn.com,115 5th St W,,Northfield,MN,55057,Rice,9079 ,Saturday,toni.schmidt@apgsomn.com,toni.schmidt@apgsomn.com,Yes,,,(507) 444-2367,Cancelled,APG Media of Southern MN- Adams Publishing Group,class@apgecm.com,Thursday 12P - Rate card on file,,18.75,399,
600,Member Publication,Northwest Iowa Shopper,Brad Hicks,publisher@spencerdailyreporter.com,310 E. Milwaukee,,Spencer,IA,51301,Clay,14681 ,Wednesday,kvanderwoude@spencerdailyreporter.com,kvanderwoude@spencerdailyreporter.com,Yes,,,(712) 262-6610,Paid,"Enterprise Media Inc, Charles City",tjmurphy@spencerdailyreporter.com,Friday Noon,2,10,2,
549,Member Publication,NWIA Extra,Lisa Miller,lmiller@ncppub.com,310 1st Ave,,Rock Rapids,IA,51246,Lyon,1094 ,Monday,ads@ncppub.com,mpunt@ncppub.com,Yes,,,(712) 472-2525,Paid,"New Century Press, Inc",ads@ncppub.com,Friday 12P,2,12.09,247,
470,Member Publication,Oelwein Shopper's Reminder,Tracy Cummings,tracycummings@oelweindailyregister.com,25 First Street SE,,Oelwein,IA,50662,Fayette,19241 ,Monday,classifieds@oelweindailyregister.com,ads@oelweindailyregister.com,Yes,,,(319) 283-2144,Paid,Community Media Group Inc,ads@oelweindailyregister.com,Thursday by 12 Noon,2,18.65,2.5,
1169,Member Publication,O'Neill Shopper,Lisa Connot,lisa@theoneillshopper.net,129 N. 4th Street,PO BOX 671,O'Neill,NE,68763,Holt,12727 ,Wednesday,cindy@oneillprinting.net,cindy@oneillprinting.net,Yes,,,(402) 336-3519,Paid,Mary Poese,lisa@theoneillshopper.net,Monday 12P,2,8.14,9.54,
505,Non Member Publication,Oskaloosa Shopper,Ron Gutierrez,rgutierrez@cnhi.com,1901 A Avenue West,,Oskaloosa,IA,52577,Mahaska,16985 ,Wednesday,creative@oskyherald.com,ohcirc@oskyherald.com,Yes,,,(641) 672-2581,Cancelled,Community Newspaper Holdings Inc,ohcirc@oskyherald.com,Thursday 5P,,12.74,275,
190,Non Member Publication,Owatonna/Waseca Area Shopper,Randy Rickman,randy.rickman@apgsomn.com,135 West Pearl St,,Owatonna,MN,55060,Steele,22876 ,Tuesday,toni.schmidt@apgsomn.com,toni.schmidt@apgsomn.com,Yes,,,(507) 444-2367,Cancelled,APG Media of Southern MN- Adams Publishing Group,class@apgecm.com,Thursday 3P - Rate card on file,,22,399,
1202,Member Publication,Payday,Mark Davis,mdavis@plainsman.com,49 Third Street SE,,Huron,SD,57350,Beadle,15478 ,Wednesday,rcrandall@plainsman.com,rcrandall@plainsman.com,Yes,,,(605) 353-7412,Paid,Pay Day Print Shop,mdavis@plainsman.com,Thursday 12P,2,17.5,195,
1170,Non Member Publication,Penny Press 1,,,823 Central Ave.,,Nebraska City,NE,68410,Otoe,18822 ,Monday,tkavan@ncnewspress.com,tkavan@ncnewspress.com,Yes,,,(800) 742-7662,Cancelled,Gatehouse Media Inc,vrudolph@ncnewspress.com,Thursday 11A,,16.47,168,
100,Member Publication,Penny Saver - Cedar Rapids,Zack Kucharski,zack.kucharski@thegazette.com,115 3rd Street SE,,Cedar Rapids,IA,52341,Linn,62649 ,Wednesday,classifieds@thegazette.com,,Yes,,,(319) 398-8333,Paid,Gazette Communications,cindy.margretz@thegazette.com,Thursday 12P,,20,,
1020,Non Member Publication,Penny Saver - Monmouth,,,400 S. Main,,Monmouth,IL,61462,Warren,0 ,,,,,,,(309) 734-3176,Cancelled,,,,,,,
9050,Non Member Publication,PennySaver - Harlan,Josh Byers,josh@harlanonline.com,1114 7th Street,,Harlan,IA,51537,Shelby,8561 ,Tuesday,comp@harlanonline.com,comp@harlanonline.com,Yes,,,(712) 755-3111,Cancelled,"Harlan Publishing, Inc.",mike@harlanonline.com,Friday 10A,,9.1,180,
410,Member Publication,Pennysaver - Marshalltown,Terry Christensen,tchristensen@messengernews.net,135 West Main Street,,Marshalltown,IA,50158,Marshall,18155 ,Wednesday/Saturday,knash@timesrepublican.com,knash@timesrepublican.com,Yes,,,(641) 752-6630,Paid,Ogden Newspapers,rjames@timesrepublican.com,Thursday 12P,2,16.53,145,
